"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A1001",0.342765125018554,0.37529393388159,13162,74992,62404688,62404688,966116777,903712089,8133408.801,70538096.801,0.130333298052864
"A1006",0.329971290158521,0.35372602075694,14438,30324,2482362,0,427696841,425214479,3826930.311,6309292.31099999,1.54164876476517
"A1023",0.398097992417197,0.41051268638204,10244,5194,3582129,3582129,52165596,48583467,437251.203,4019380.203,0.12206461660091
"A1026",0.323238005516375,0.35462245926218,12369,40219,8446253,0,483895147,475448894,4279040.046,12725293.046,0.506619923177769
"A1027",0.35929186670063,0.38886438095317,13556,7965,6608541,6608541,105115708,98507168,886564.512,7495104.51199999,0.134154197121573
"A1032",0.418837722493024,0.424665725714077,15875,5758,7798684,7798684,89238432,81439748,732957.732,8531641.73199999,0.0939847969221465
"A1033",0.341393671266129,0.36748024229038,12852,95585,77619589,77619589,1198112600,1120493011,10084437.099,87704026.099,0.129921289572919
"A1037",0.358827360199801,0.376567086225526,13378,6607,5099370,5099370,85818233,80718863,726469.767,5825839.767,0.142462650680379
"A1041",0.356675103511539,0.386365383138806,12773,13722,10481639,10481639,170635460,160153821,1441384.389,11923023.389,0.137515171911568
"A1051",0.300590968422537,0.339864086569309,11242,11049,16705344,16705344,121589728,104884384,943959.456,17649303.456,0.0565064362637489
"A1052",0.450840447218819,0.463938352022656,10900,6191,856019,856019,65434679,64578660,581207.94,1437226.94,0.67896616780702
"A1059",0.310847696486722,0.34432173609763,12780,26879,13471461,13471461,334351143,320879682,2887917.138,16359378.138,0.214372972463789
"A1061",0.388880530726179,0.413397804226258,10038,40537,7325698,7325698,397147502,389821805,3508396.245,10834093.245,0.47891617222004
"A1063",0.418112529940038,0.424112867347681,10060,8792,2412499,2412499,85448682,83036183,747325.647,3159824.647,0.309772417314992
"A1066",0.285060671497346,0.305583763941295,12409,27839,14889262,14889262,336586810,321697548,2895277.932,17784539.932,0.194454092620573
"A1070",0.337732706011957,0.371137569039962,26662,22904,-28610637,-28610637,555253455,583864092,5254776.828,-23355860.1720001,-0.183665146218169
"A1080",0.429445235462196,0.456871766920467,11296,5795,2180440,2180440,63162418,60981978,548837.802,2729277.802,0.251709655849279
"A1083",0.277425281669606,0.338514984170005,11086,6005,5360197,5360197,64570580,59210383,532893.447,5893090.447,0.0994167652793352
"A1095",0.396192839755378,0.440211009979012,11502,26130,11713839,11713839,291173549,279459710,2515137.39,14228976.39,0.214715038340546
"A1131",0.363190448949554,0.39278625270636,11347,13441,1463620,0,149292769,147829149,1330462.341,2794082.34099999,0.909021700304718
"A1161",0.321253811791615,0.354674889833637,16562,39237,27213629,27213629,633446089,606232460,5456092.14,32669721.14,0.200491163453429
"A1175",0.428688855912851,0.448584514004405,12377,31752,14198325,14198325,385727004,371528679,3343758.111,17542083.111,0.235503702795928
"A1196",0.459277170097097,0.473436452177874,11991,11317,7934995,7934995,133198624,125263629,1127372.661,9062367.66100001,0.142076039241362
"A1199",0.335912270198875,0.369484046948075,12709,13625,125311,0,169700174,169574864,1526173.776,1651483.77599999,12.1790806553295
"A1204",0.356291785653241,0.381536572360269,11403,34640,8670047,8670047,385547161,376877114,3391894.026,12061941.026,0.391219796847701
"A1215",0.404175822949965,0.423577991390589,12347,59578,51093023,51093023,715285396,664192373,5977731.357,57070754.357,0.116997018497026
