,Report_Ticket,Measure_Code,Measure_Name,DelivSys,StratVal,PlanParent,Region,County,County_Size,County_Size_Ordered,Directionality,Units,Value,CSA_CompVal_Desc,CSA_CompVal,CSA_Diff,CSA_PctBelowComp,ICA_CompVal,ICA_Diff,ICA_25,ICA_75,CSA_25,CSA_75
1,464,BPZP,HOXU,DEER,None,WTDY,FULH,JPEM,Medium,2_Medium,Lower is better,"Total per 1,000 months",2.624292864,med,0.689474494,1.672550557,0.418064516,0.449336696,2.290417805,0.298806759,1.577296511,0.150433676,0.724129222
2,464,BPZP,HOXU,DEER,None,WTDY,TPDF,GFBK,Medium,2_Medium,Lower is better,"Total per 1,000 months",8.403592261,med,0.675545716,5.893233484,0.367741935,0,7.46181037,0.285377241,1.267229676,0.167148529,0.774069169
3,464,BPZP,HOXU,DEER,None,MMVD,TPDF,GFBK,Medium,2_Medium,Lower is better,"Total per 1,000 months",1.426096492,med,0.605901828,0.971035062,0.317419355,0,1.557231801,0.329023172,1.118936841,0.163805558,0.907242359
4,464,BPZP,HOXU,DEER,None,BUUI,TPDF,GFBK,Medium,2_Medium,Lower is better,Percentage,0.121995909,med,0.731260826,0,0.367741935,0,0.123448241,0.359239586,1.509890678,0.133718823,0.707482573
5,464,BPZP,HOXU,DEER,None,MRZM,TPDF,GFBK,Medium,2_Medium,Lower is better,Percentage,0.822528363,med,0.800904715,0.12001565,0.321290323,0,0.965211855,0.278662483,1.145899175,0.182191896,0.765745844
6,464,BPZP,HOXU,DEER,None,JHPZ,TPDF,GFBK,Medium,2_Medium,Lower is better,Percentage,0.610483214,med,0.773047159,0.04853337,0.402580645,0,0.893390069,0.345810069,1.105455675,0.163805558,0.907242359
7,464,BPZP,HOXU,DEER,None,WPWM,BJSY,FPZZ,Large,1_Large,Lower is better,Percentage,0,med,0.814833492,0,0.752727273,0,0,0.335737931,1.496409511,0.450223562,2.293715206
8,464,BPZP,HOXU,DEER,None,WPWM,PMHF,WHVC,Small,3_Small,Lower is better,Percentage,0.617369782,med,0.752153993,0,0.36,0,0.667426792,0.278662483,1.550334178,0.25333566,1.061181766
9,464,BPZP,HOXU,DEER,None,WPWM,MULU,SSAF,Small,3_Small,Lower is better,Percentage,0.388046282,med,0.619830605,0,0.368,0.501620803,0,0.275305103,1.41552251,0.287113748,1.061181766
10,464,BPZP,HOXU,DEER,None,WPWM,RDKA,UFJF,Rural,4_Rural,Lower is better,Percentage,0.740944018,med,0.640723772,0.102734121,0.731818182,0.724478595,0,0.399528138,1.523371844,0.461072322,2.162645766
11,464,BPZP,HOXU,DEER,None,WPWM,AMXO,BAUL,Rural,4_Rural,Lower is better,Percentage,0.144031311,med,0.661616938,0,0.648181818,0.173776908,0,0.302164138,1.307673176,0.634652491,2.33740502
12,464,BPZP,HOXU,DEER,None,WPWM,RVMN,VQRW,Rural,4_Rural,Lower is better,Percentage,0.867599213,med,0.640723772,0.044636891,0.46,0.491403873,0.261089619,0.392813379,1.402041344,0.200255807,1.217947255
13,464,BPZP,HOXU,DEER,None,WPWM,BVUN,PXMB,Rural,4_Rural,Lower is better,Percentage,0.474386046,med,0.605901828,0,0.683030303,0.526452807,0,0.298806759,1.388560177,0.455647942,2.118955953
14,464,BPZP,HOXU,DEER,None,WPWM,ZUSK,XHGS,Rural,4_Rural,Lower is better,Percentage,0.307567317,med,0.821797881,0,0.773636364,0.258240483,0,0.288734621,1.078493341,0.433950421,1.791282352
15,464,BPZP,HOXU,DEER,None,WPWM,UGVM,WREF,Rural,4_Rural,Lower is better,"Total per 1,000 months",1.011143211,med,0.605901828,0.274978722,0.822424242,0.888171175,0.255759508,0.392813379,1.240267342,0.640076871,2.359249927
16,464,BPZP,HOXU,DEER,None,WPWM,KPGN,AEVC,Rural,4_Rural,Lower is better,"Total per 1,000 months",1.909814324,med,0.800904715,0.748704842,0.836363636,0,1.942460722,0.33909531,1.280710843,0.531589266,1.878661979
17,464,BPZP,HOXU,DEER,None,WPWM,TCMG,JAAR,Medium,2_Medium,Lower is better,Percentage,0.161347839,med,0.696438882,0,0.44,0.201684799,0,0.302164138,1.442484844,0.226795734,1.121476185
18,464,BPZP,HOXU,DEER,None,WPWM,HNAG,XIMU,Large,1_Large,Lower is better,Percentage,0.591918577,med,0.71036766,0,0.538666667,0.422063681,0,0.305521517,1.455966011,0.546608458,1.164958689
19,464,BPZP,HOXU,DEER,None,WPWM,IGYO,APBK,Small,3_Small,Lower is better,Percentage,0,med,0.835726659,0,0.75969697,0,0,0.399528138,1.186342675,0.602106209,2.490319367
20,464,BPZP,HOXU,DEER,None,WPWM,VDST,GWOP,Small,3_Small,Lower is better,Percentage,0,med,0.585008661,0,0.815454545,0,0,0.386098621,1.172861509,0.60753059,2.359249927
21,464,BPZP,HOXU,DEER,None,WPWM,JPVF,LUMG,Rural,4_Rural,Lower is better,Percentage,0.447319829,med,0.717332049,0,0.36,0.363170554,0,0.288734621,1.550334178,0.226795734,1.217947255
22,464,BPZP,HOXU,DEER,None,WPWM,HQMZ,FPTE,Medium,2_Medium,Lower is better,Percentage,0.640076871,med,0.619830605,0,0.634242424,0.553286787,0,0.298806759,1.159380342,0.466496703,2.53400918
23,464,BPZP,HOXU,DEER,None,WPWM,SVFY,FLQJ,Medium,2_Medium,Lower is better,"Total per 1,000 months",1.1053401,med,0.564115495,0.477335894,0.801515152,1.295506139,0,0.349167448,1.41552251,0.542438026,2.097111046
24,464,BPZP,HOXU,DEER,None,WPWM,ZLHS,IBIE,Small,3_Small,Lower is better,Percentage,0.829687736,med,0.598937439,0.0664961,0.444,0.852315583,0,0.312236276,1.590777678,0.229208454,1.278241673
25,464,BPZP,HOXU,DEER,None,PMKD,BJSY,FPZZ,Large,1_Large,Lower is better,"Total per 1,000 months",9.836065574,med,0.738225215,9.251056913,0.717878788,0,13.70023419,0.292092,1.186342675,0.61837935,2.315560113
